marca=CHANA, modelo=Family 1.0 8V 53cv (Perua), ano=2005, renavam=44189535557, placa=HYW-4380, cor=Dourado
marca=EFFA, modelo=K02 Pick-up CD 1.0 8V 4p, ano=2016, renavam=53134493320, placa=EHL-3802, cor=Preto
marca=TAC, modelo=Stark 2.3 4WD 127cv TDI Diesel 3p, ano=2010, renavam=76889594198, placa=FAW-8351, cor=Laranja
marca=Lada, modelo=Laika SW 5p, ano=1991, renavam=53785369237, placa=FQZ-8131, cor=Azul
marca=Ford, modelo=Fiesta Sedan TITANIUM 1.6 16V Flex Mec, ano=2014, renavam=41071276928, placa=CMX-7301, cor=Amarelo
marca=Subaru, modelo=Forester 2.0 4x4 Mec., ano=1997, renavam=41071276928, placa=CMX-7301, cor=Amarelo
marca=Chrysler, modelo=Sebring LX 2.7 V6 24V 204cv, ano=2001, renavam=12040287126, placa=CPV-5253, cor=Amarelo
marca=JPX, modelo=Jipe Montez 4x4 CD Teto R, ano=1994, renavam=15337060728, placa=DLT-4207, cor=Branco
marca=Chrysler, modelo=Grand Caravan LE 3.3 Aut, ano=1993, renavam=15337060728, placa=DLT-4207, cor=Branco
marca=Mitsubishi, modelo=Galant ES, ano=1992, renavam=55115333387, placa=FMW-8582, cor=Prata
marca=MINI, modelo=COOPER Countryman S ALL4 1.6 Aut., ano=2011, renavam=58200299281, placa=DHX-8505, cor=Verde
marca=Mercury, modelo=Sable LS 3.0 V6, ano=1992, renavam=29863268135, placa=CQB-2353, cor=Cinza
marca=Pontiac, modelo=Trans-AM 5.7 V8, ano=1991, renavam=55188471313, placa=EWY-2912, cor=Amarelo
marca=Nissan, modelo=LIVINA GRAND S 1.8 16V Flex Fuel Aut., ano=2010, renavam=32782823082, placa=FVG-0799, cor=Verde
marca=RELY, modelo=PICK-UP Q22B CS 1.0 2p, ano=2012, renavam=32782823082, placa=FVG-0799, cor=Verde
marca=Bugre, modelo=Buggy IV e V, ano=1985, renavam=48518352816, placa=CLB-4836, cor=Laranja
marca=ASTON MARTIN, modelo=DB9 Volante 6.0 V12 470cv, ano=2011, renavam=08835513918, placa=BHO-3068, cor=Bege
marca=Agrale, modelo=MARRU, ano=2007, renavam=20579656181, placa=BKK-4248, cor=Dourado
marca=Mercury, modelo=Sable LS 3.0 V6, ano=1992, renavam=20579656181, placa=BKK-4248, cor=Dourado
marca=Fibravan, modelo=Buggy Vip 1.8 8V, ano=2006, renavam=32782823082, placa=FVG-0799, cor=Verde
marca=Mercury, modelo=Mystique GS 2.5 V6 Mec., ano=1995, renavam=89777118060, placa=CYS-9977, cor=Cinza
marca=Daihatsu, modelo=Cuore TS/TSL, ano=1995, renavam=88207904786, placa=DZU-0450, cor=Verde
marca=TAC, modelo=Stark 2.3 4WD 127cv TDI Diesel 3p, ano=2010, renavam=38918656262, placa=CQR-0997, cor=Cinza
marca=Citroen, modelo=Xantia Activa 2.0, ano=1997, renavam=01763462789, placa=FTJ-7397, cor=Preto
marca=FOTON, modelo=AUMARK 3.5 - 14ST 2.8 4x2 TB Diesel, ano=2014, renavam=01763462789, placa=FTJ-7397, cor=Preto
marca=Subaru, modelo=Impreza SD GX 2.0 16v 4x4 4p Aut., ano=2001, renavam=01763462789, placa=FTJ-7397, cor=Preto
marca=BMW, modelo=318Ti/TiA Compact 1.9 16V, ano=1995, renavam=06319444901, placa=DGL-6082, cor=Azul
marca=TAC, modelo=Stark 2.3 4WD 127cv TDI Diesel 3p, ano=2010, renavam=93214745139, placa=FXM-7074, cor=Prata
marca=Plymouth, modelo=Sundance 2.5, ano=1992, renavam=01763462789, placa=FTJ-7397, cor=Preto
marca=CBT Jipe, modelo=Javali 3.0 4x4 Diesel, ano=1988, renavam=87953282908, placa=CEC-0257, cor=Prata
marca=HAFEI, modelo=Towner Jr. Pick-up 1.0 8V 48cv  CD 4p, ano=2010, renavam=37278310540, placa=EII-5112, cor=Bege
marca=RELY, modelo=LINK 1.3 16V 5p, ano=2014, renavam=27837961957, placa=DCB-8013, cor=Azul
marca=Buggy, modelo=Buggy 1.6 2-Lug., ano=1988, renavam=68137513606, placa=BYC-9888, cor=Preto
marca=Daewoo, modelo=Nubira CDX 2.0 16V Aut., ano=1997, renavam=91192617331, placa=BNU-2154, cor=Cinza
marca=Volvo, modelo=S80 3.2 238cv Aut., ano=2007, renavam=44435990480, placa=CIK-6649, cor=Laranja
marca=BRM, modelo=Buggy/M-8/M-8 Long 1.6, ano=1985, renavam=46084723317, placa=FLV-6310, cor=Laranja
marca=MG, modelo=MG6 1.8 16V Turbo 170cv Aut., ano=2011, renavam=37898673940, placa=EUX-0996, cor=Bege
marca=BRM, modelo=Buggy/M-8/M-8 Long 1.6, ano=1985, renavam=71679277926, placa=CKF-4484, cor=Prata
marca=Chrysler, modelo=300 C 3.6 V6 Aut., ano=2012, renavam=32782823082, placa=FVG-0799, cor=Verde
marca=Fibravan, modelo=Buggy Plus 1.6 8V, ano=1989, renavam=32782823082, placa=FVG-0799, cor=Verde
marca=Rover, modelo=Mini Cooper 1.3, ano=1992, renavam=47441393450, placa=DWE-8066, cor=Verde
marca=Mazda, modelo=626 Sedan Aut., ano=2000, renavam=34363216264, placa=DWA-1760, cor=Branco
marca=Jaguar, modelo=XJS 4.0 24V, ano=1994, renavam=67879762242, placa=CDH-2190, cor=Verde
marca=Asia Motors, modelo=Hi-Topic Van 2.7 Diesel (furg, ano=1994, renavam=79982889644, placa=DYV-4091, cor=Laranja
marca=Audi, modelo=A6 2.7 Quattro Tiptronic, ano=2000, renavam=53140297392, placa=ETT-6297, cor=Branco
marca=Miura, modelo=Picape BG-Truck CD Turbo Diesel, ano=1993, renavam=18316039783, placa=CIM-3393, cor=Bege
marca=Kia Motors, modelo=Besta EST 2.7 Diesel (10/12lug.), ano=1993, renavam=01763462789, placa=FTJ-7397, cor=Preto
marca=CHANGAN, modelo=MINI STAR CD 1.0 8V 53cv (Pick-Up), ano=2012, renavam=50771467830, placa=CEX-8087, cor=Marrom
marca=Mazda, modelo=B-2500 Pick-Up CD 4x4 2.5 Diesel, ano=1998, renavam=18316039783, placa=CIM-3393, cor=Bege
marca=Cadillac, modelo=Seville 4.6, ano=1991, renavam=01763462789, placa=FTJ-7397, cor=Preto
marca=GM - Chevrolet, modelo=CAPTIVA SPORT FWD 3.6 V6 24V 261cv 4x2, ano=2008, renavam=79525970856, placa=FSR-7900, cor=Vermelho
marca=RAM, modelo=2500 LARAMIE SLT 6.7 TDI  CD 4x4 Diesel, ano=2012, renavam=02867527117, placa=BZQ-5365, cor=Marrom
marca=Rover, modelo=Mini Cooper 1.3, ano=1992, renavam=93964473844, placa=DWL-6290, cor=Azul
marca=Saturn, modelo=SL-2 1.9, ano=1991, renavam=37898673940, placa=EUX-0996, cor=Bege
marca=EFFA, modelo=ULC PICAPE Longa 1.0 8V 2p, ano=2010, renavam=94001240887, placa=BJO-6947, cor=Vermelho
marca=Agrale, modelo=MARRU, ano=2004, renavam=21140901593, placa=DBV-4546, cor=Marrom
marca=Walk, modelo=Buggy  Walk Sport 1.6 8V 58cv, ano=2005, renavam=37898673940, placa=EUX-0996, cor=Bege
marca=GM - Chevrolet, modelo=CRUZE LTZ 1.4 16V Turbo Flex 4p Aut., ano=2017, renavam=37898673940, placa=EUX-0996, cor=Bege
marca=Suzuki, modelo=Grand Vitara 2.0 16V 5p/ Gold Aut( Arg.), ano=2000, renavam=78014248413, placa=DID-8845, cor=Azul
marca=Plymouth, modelo=Sundance 2.5, ano=1992, renavam=87608241372, placa=FDW-3155, cor=Prata
marca=Matra, modelo=Pick-Up CD 4x2 Curto/Longo 2.5 TDI Dies., ano=2003, renavam=37119463333, placa=CKU-3155, cor=Laranja
marca=Mercury, modelo=Mystique GS 2.5 V6 Mec., ano=1995, renavam=21140901593, placa=DBV-4546, cor=Marrom
marca=Kia Motors, modelo=Sorento 2.4 16V 174cv 4x4 Aut., ano=2011, renavam=21140901593, placa=DBV-4546, cor=Marrom
marca=Chrysler, modelo=300 C Touring 5.7 V8 16V 340cv Aut., ano=2005, renavam=79982889644, placa=DYV-4091, cor=Laranja
marca=CHERY, modelo=Celer Hatch ACT 1.5 16V Flex 5p, ano=2015, renavam=79982889644, placa=DYV-4091, cor=Laranja
marca=Walk, modelo=Buggy  Walk Sport 1.6 8V 58cv, ano=2005, renavam=41058268666, placa=EHG-7659, cor=Amarelo
marca=EFFA, modelo=V21 Pick-up CS 1.3 16V 2p, ano=2016, renavam=79982889644, placa=DYV-4091, cor=Laranja
marca=Jaguar, modelo=XF 2.0 GTDI R-SPORT 240cv Aut., ano=2016, renavam=67879762242, placa=CDH-2190, cor=Verde
marca=CHANA, modelo=Cargo CD 1.0 8V 53cv (Pick-Up), ano=2007, renavam=53585224855, placa=CWN-1588, cor=Vermelho
marca=Fiat, modelo=Palio Way 1.0 Fire Flex 8V 5p, ano=2015, renavam=67879762242, placa=CDH-2190, cor=Verde
marca=Hyundai, modelo=HB20X Style 1.6 Flex 16v Mec., ano=2013, renavam=22674762887, placa=FWI-8901, cor=Dourado
marca=Mercury, modelo=Sable LS 3.0 V6, ano=1992, renavam=79982889644, placa=DYV-4091, cor=Laranja
marca=Maserati, modelo=Ghibli S Q4 3.0 V6 410cv Aut., ano=2014, renavam=74503180045, placa=CXX-4884, cor=Cinza
marca=Fibravan, modelo=Buggy Vip 1.6 8V Total Flex, ano=2007, renavam=74503180045, placa=CXX-4884, cor=Cinza
marca=Saab, modelo=9000 CD 2.3 Turbo, ano=1992, renavam=74503180045, placa=CXX-4884, cor=Cinza
marca=Matra, modelo=Pick-Up 4x4 Curto/Longo 2.5 TDI  Diesel, ano=2002, renavam=41822602307, placa=GHU-5587, cor=Bege
marca=Honda, modelo=Civic Sed, ano=1992, renavam=21389744584, placa=CGL-3890, cor=Preto
marca=Buggy, modelo=Buggy 1.6/ TST/ RS 1.6 4-Lug., ano=1985, renavam=74503180045, placa=CXX-4884, cor=Cinza
marca=CHANA, modelo=Family 1.0 8V 53cv (Perua), ano=2005, renavam=72567858500, placa=CUF-8181, cor=Azul
marca=Cadillac, modelo=Seville 4.6, ano=1991, renavam=50122095290, placa=DAH-2645, cor=Dourado
marca=Peugeot, modelo=106 Passion 1.0 5p, ano=1998, renavam=53585224855, placa=CWN-1588, cor=Vermelho
marca=Kia Motors, modelo=Clarus Wagon GLX 2.0 16V Aut., ano=1999, renavam=74503180045, placa=CXX-4884, cor=Cinza
marca=HAFEI, modelo=Towner Jr. Pick-up Ba, ano=2011, renavam=71658603263, placa=FDN-2101, cor=Branco
marca=Miura, modelo=Picape BG-Truck CD Turbo Diesel, ano=1993, renavam=10809141601, placa=DQV-7731, cor=Verde
marca=Acura, modelo=NSX 3.0, ano=1991, renavam=74503180045, placa=CXX-4884, cor=Cinza
marca=Buggy, modelo=Buggy 1.6 2-Lug., ano=1988, renavam=53585224855, placa=CWN-1588, cor=Vermelho
marca=Audi, modelo=S Q5 3.0 V6 TFSI 354cv Quattro Tiptronic, ano=2014, renavam=41822602307, placa=GHU-5587, cor=Bege
marca=Gurgel, modelo=Carajas Diesel, ano=1985, renavam=65788391296, placa=EPN-2933, cor=Preto
marca=JPX, modelo=Jipe Montez 4x4 CD Teto R, ano=1994, renavam=65788391296, placa=EPN-2933, cor=Preto
marca=TAC, modelo=Stark 2.3 4WD 127cv TDI Diesel 3p, ano=2010, renavam=89669435904, placa=BYG-4137, cor=Marrom
marca=Maserati, modelo=Spider IE 2.0 V6, ano=1992, renavam=65788391296, placa=EPN-2933, cor=Preto
marca=Fyber, modelo=Buggy 2000W 1.8 8V/ 1.8 8V Flex, ano=2004, renavam=08146519758, placa=KQK-6780, cor=Cinza
marca=GM - Chevrolet, modelo=Astra Sed. Advant. 2.0 8V MPFI FlexP. 4p, ano=2007, renavam=89669435904, placa=KRE-4137, cor=Marrom
marca=GEELY, modelo=GC2 1.0 12V 68cv 5p, ano=2015, renavam=44280775352, placa=LCB-4880, cor=Verde
marca=Walk, modelo=Buggy  Walk Sport 1.6 8V 58cv, ano=2005, renavam=89669435904, placa=KRE-4137, cor=Marrom
marca=CHERY, modelo=QQ 1.1/1.0 12V 69cv 5p, ano=2011, renavam=41822602307, placa=LUN-5587, cor=Bege
marca=Bugre, modelo=Buggy IV e V, ano=1985, renavam=89669435904, placa=KRE-4137, cor=Marrom
marca=Volvo, modelo=XC 90 T-6 MOMENTUM 2.0 320cv 5P, ano=2016, renavam=20797206536, placa=LCJ-5850, cor=Branco
marca=Subaru, modelo=Legacy 3.0 R H6 245cv Aut., ano=2005, renavam=87142324448, placa=LIF-9439, cor=Amarelo
marca=Subaru, modelo=Legacy GX 2.2 4x4, ano=1992, renavam=20920436557, placa=KVR-2979, cor=Bege
marca=Alfa Romeo, modelo=145 Quadrifoglio 2.0, ano=1996, renavam=89669435904, placa=KRE-4137, cor=Marrom
marca=Volvo, modelo=V70 T 2.0 20v 180cv 4p Aut., ano=2002, renavam=94674284095, placa=LBD-7935, cor=Cinza
marca=Lotus, modelo=Elan S-2 1.6 16V, ano=1995, renavam=10809141601, placa=LCS-7731, cor=Verde
marca=Isuzu, modelo=Hombre 2 WD XS 2.2, ano=1995, renavam=72567858500, placa=KWW-8181, cor=Azul
marca=Daihatsu, modelo=Cuore 0/TS0 85i, ano=1995, renavam=63217314102, placa=LBH-1078, cor=Preto
marca=Land Rover, modelo=Discovery RAW 3.0 4x4 TDV6 Diesel Aut., ano=2015, renavam=51509747714, placa=LHE-0023, cor=Vermelho
marca=Gurgel, modelo=Carajas Diesel, ano=1985, renavam=95158172546, placa=LDJ-7093, cor=Dourado
marca=Mitsubishi, modelo=Eclipse GST 2.0 16V Turbo, ano=1991, renavam=10809141601, placa=LCS-7731, cor=Verde
marca=Maserati, modelo=Quattroporte Sport 4.2 32V 400cv/430cv, ano=2004, renavam=51509747714, placa=LHE-0023, cor=Vermelho
marca=Gurgel, modelo=Carajas Diesel, ano=1985, renavam=51509747714, placa=LHE-0023, cor=Vermelho
marca=CBT Jipe, modelo=Javali 3.0 4x4 Diesel, ano=1988, renavam=08146519758, placa=KQK-6780, cor=Cinza
marca=Mahindra, modelo=PIK-UP CD 2.2 4X2 (diesel) Mec., ano=2014, renavam=49801070816, placa=LMO-9128, cor=Bege
marca=Rover, modelo=Mini Cooper 1.3, ano=1992, renavam=10809141601, placa=LCS-7731, cor=Verde
marca=Bugre, modelo=Buggy VII/VII BIG, ano=2008, renavam=44280775352, placa=LCB-4880, cor=Verde
marca=JPX, modelo=Jipe Montez Std 4x4 Teto de Lona Diesel, ano=1994, renavam=91943942350, placa=KWK-0385, cor=Azul
marca=Nissan, modelo=VERSA SL 1.6 16V FlexStart 4p Aut., ano=2017, renavam=44280775352, placa=LCB-4880, cor=Verde
marca=Saturn, modelo=SL-2 1.9, ano=1991, renavam=20920436557, placa=KVR-2979, cor=Bege
marca=TAC, modelo=Stark 2.3 4WD 127cv TDI Diesel 3p, ano=2010, renavam=20586236966, placa=KOT-7772, cor=Amarelo
marca=Porsche, modelo=911 Carrera 4S Coupe 3.0 420cv, ano=2017, renavam=20586236966, placa=KOT-7772, cor=Amarelo
marca=Jaguar, modelo=XE 2.0 Turbocharged R-Sport 240cv Aut., ano=2016, renavam=37510389499, placa=LHG-2143, cor=Verde
marca=Troller, modelo=T-4 4x4 2.8 TB Int. Cap. R, ano=2001, renavam=37623108908, placa=KPT-8329, cor=Dourado
marca=Renault, modelo=Trafic Furg, ano=1997, renavam=78338615519, placa=LMF-1226, cor=Prata
marca=Mercury, modelo=Sable LS 3.0 V6, ano=1992, renavam=63217314102, placa=LBH-1078, cor=Preto
marca=Troller, modelo=RF Esport T-4 4x4 2.0 Cap. Lona, ano=1998, renavam=61125598612, placa=LAS-0326, cor=Dourado
marca=Miura, modelo=Picape BG-Truck CD Turbo Diesel, ano=1993, renavam=51509747714, placa=LHE-0023, cor=Vermelho
marca=Matra, modelo=Pick-Up CD 4x2 Curto/Longo 2.5 TDI Dies., ano=2003, renavam=59968326218, placa=LGK-4821, cor=Azul
marca=Daihatsu, modelo=Cuore CS/CSL, ano=1995, renavam=63217314102, placa=LBH-1078, cor=Preto
marca=Cadillac, modelo=Deville/Eldorado 4.9, ano=1991, renavam=59968326218, placa=LGK-4821, cor=Azul
marca=BMW, modelo=318i Cabrio 1.8 16V, ano=1994, renavam=63217314102, placa=LBH-1078, cor=Preto
marca=Asia Motors, modelo=Towner Truck, ano=1993, renavam=51509747714, placa=LHE-0023, cor=Vermelho
marca=CHANGAN, modelo=MINI STAR CE 1.0 8V 53cv (Pick-Up), ano=2011, renavam=25580360844, placa=KRP-7357, cor=Amarelo
marca=GEELY, modelo=EC7 1.8 16V 130cv 4p Mec., ano=2014, renavam=59968326218, placa=LGK-4821, cor=Azul
marca=CHANGAN, modelo=MINI STAR Utility 1.0 8V 53cv (Furg, ano=2012, renavam=51509747714, placa=LHE-0023, cor=Vermelho
marca=EFFA, modelo=ULC VAN 1.0 8V 5p, ano=2007, renavam=78338615519, placa=LMF-1226, cor=Prata
marca=Fyber, modelo=Buggy 2000W 1.8 8V/ 1.8 8V Flex, ano=2004, renavam=59968326218, placa=LGK-4821, cor=Azul
marca=Daihatsu, modelo=Charade TS/TSi 1.3/LSi 1.5 16V, ano=1994, renavam=49801070816, placa=LMO-9128, cor=Bege
marca=HAFEI, modelo=Towner Pick_up Ba, ano=2011, renavam=37244403464, placa=LSO-3172, cor=Marrom
marca=Citroen, modelo=Xsara Break Exclusive 1.6 16V 5p Aut., ano=2001, renavam=35102132910, placa=LAE-7425, cor=Vermelho
marca=Peugeot, modelo=306 GTi 2.0 16V, ano=1998, renavam=23951668799, placa=KXG-6182, cor=Dourado
marca=Kia Motors, modelo=Sportage DLX 2.0 16V Aut., ano=1996, renavam=20586236966, placa=KOT-7772, cor=Amarelo
marca=Nissan, modelo=Sentra SR 2.0 Flex Fuel 16V Aut., ano=2012, renavam=20586236966, placa=KOT-7772, cor=Amarelo
marca=Mahindra, modelo=SUV 2.2 4x4 (diesel) Mec., ano=2015, renavam=97315754810, placa=KUL-8920, cor=Verde
marca=GREAT WALL, modelo=HOVER CUV 2.4 16V 4WD 5p Mec., ano=2007, renavam=86326390534, placa=KNE-1762, cor=Vermelho
marca=Volvo, modelo=C70 Cup, ano=1998, renavam=20586236966, placa=KOT-7772, cor=Amarelo
marca=Jeep, modelo=Cherokee Limited 3.2 4x4 V6 Aut., ano=2014, renavam=65975188776, placa=LBU-2075, cor=Marrom
marca=Lotus, modelo=Esprit S-4 2.2 16V, ano=1995, renavam=85837012430, placa=KXC-4953, cor=Prata
marca=RELY, modelo=VAN Q22 1.0 5p, ano=2013, renavam=58342991215, placa=LHK-6860, cor=Dourado
marca=Troller, modelo=T-4 4x4 2.8 TB Int. Cap. R, ano=2001, renavam=51768759298, placa=KQZ-4139, cor=Azul
marca=Jaguar, modelo=XK-8 BR Convers, ano=1996, renavam=99636000876, placa=KSJ-1015, cor=Cinza
marca=Asia Motors, modelo=Jipe Rocsta GT 4x4 2.2 Diesel, ano=1994, renavam=51535773492, placa=KYR-6929, cor=Azul
marca=Saab, modelo=9000 CD 2.3 Turbo, ano=1992, renavam=70276216580, placa=KMG-9160, cor=Preto
marca=Rolls-Royce, modelo=Ghost 6.6 V12 Aut., ano=2011, renavam=73289940082, placa=LCT-8407, cor=Cinza
marca=Renault, modelo=SANDERO Dynamique Hi-Power 1.6 8V 5p, ano=2015, renavam=66555104640, placa=LIY-9493, cor=Vermelho
marca=Pontiac, modelo=Trans-AM 5.7 V8, ano=1991, renavam=32945046829, placa=KSA-9212, cor=Verde
marca=Seat, modelo=Ibiza 1.0i 8v, ano=1994, renavam=37594734338, placa=LIP-5853, cor=Vermelho
marca=Mercedes-Benz, modelo=C-250 Sport Coupe 2.0 16V 211cv Aut., ano=2000, renavam=29940211457, placa=LJO-1258, cor=Preto
marca=JINBEI, modelo=TOPIC VAN Lon./GRAN TOPIC SL, ano=2011, renavam=85837012430, placa=KXC-4953, cor=Prata
marca=JAC, modelo=J3 Brasil1.4 16V 5p Mec., ano=2012, renavam=76315978856, placa=LQD-0932, cor=Vermelho
marca=MINI, modelo=COOPER COUP, ano=2012, renavam=16071878633, placa=KQT-7007, cor=Laranja
marca=Subaru, modelo=Impreza GL 2.0 4x2 Aut., ano=1995, renavam=15061863740, placa=LHZ-7910, cor=Bege
marca=GM - Chevrolet, modelo=Vectra EXPRESSION 2.0 MPFI FlexPower Mec, ano=2007, renavam=18668195188, placa=LJJ-8709, cor=Amarelo
marca=Land Rover, modelo=Range R. EVOQUE SD4 HSE 2.2 Dies. Aut.5p, ano=2016, renavam=05203759037, placa=LQC-4467, cor=Laranja
marca=CBT Jipe, modelo=Javali 3.0 4x4 Diesel, ano=1988, renavam=02679456879, placa=KRR-5463, cor=Azul
marca=Volvo, modelo=XC 90 3.2 238cv AWD 5p, ano=2008, renavam=59318606186, placa=LOE-6006, cor=Verde
marca=Saab, modelo=9000 CD 2.3 Turbo, ano=1992, renavam=99252856235, placa=LUT-1353, cor=Preto
marca=Fiat, modelo=Palio Weekend Trekking 1.8 mpi Flex 8V, ano=2010, renavam=56450073187, placa=KXP-7704, cor=Branco
marca=GREAT WALL, modelo=HOVER CUV 2.4 16V 5p Mec., ano=2008, renavam=77276241442, placa=KRM-6715, cor=Vermelho
marca=CHANGAN, modelo=MINI STAR CS 1.0 8V 53cv (Pick-Up), ano=2011, renavam=94697977232, placa=LAS-5510, cor=Laranja
marca=Ferrari, modelo=612 Scaglietti F1 V12 540cv, ano=2005, renavam=14556464389, placa=KMY-2269, cor=Bege
marca=Jaguar, modelo=X-Type SE 3.0 V6 231cv, ano=2001, renavam=99252856235, placa=LUT-1353, cor=Preto
marca=Mercury, modelo=Sable LS 3.0 V6, ano=1992, renavam=28340245492, placa=KWB-8255, cor=Preto
marca=GEELY, modelo=GC2 1.0 12V 68cv 5p, ano=2015, renavam=28340245492, placa=KWB-8255, cor=Preto
marca=HAFEI, modelo=Towner Passageiro 1.0 8V 48cv 7L 5p, ano=2009, renavam=17517232418, placa=KQI-7664, cor=Verde
marca=CHERY, modelo=Celer Hatch 1.5 16V Flex 5p, ano=2013, renavam=61147663093, placa=LTB-2290, cor=Vermelho
marca=Porsche, modelo=911 Carrera Coup, ano=1992, renavam=93189726733, placa=KMU-9489, cor=Bege
marca=AM Gen, modelo=Hummer Hard-Top 6.5 4x4 Diesel TB, ano=1998, renavam=61147663093, placa=LTB-2290, cor=Vermelho
marca=Ford, modelo=Ranger XLS 2.3 16V 145cv/150cv 4x2 CD, ano=2004, renavam=65574791650, placa=LNQ-7859, cor=Bege
marca=Citroen, modelo=C3 Excl./Excl.Solar./Sonora 1.6 Flex Aut, ano=2008, renavam=09558395892, placa=LOX-8028, cor=Laranja
marca=CHANA, modelo=Cargo 1.0 8V 53cv (Pick-Up), ano=2005, renavam=73289940082, placa=LCT-8407, cor=Cinza
marca=Pontiac, modelo=Trans-Sport SE 3.1, ano=1991, renavam=42161034743, placa=LUB-0106, cor=Amarelo
marca=MG, modelo=550 1.8 16V Turbo 170cv Aut., ano=2010, renavam=28064183980, placa=LGR-6391, cor=Azul
marca=Fibravan, modelo=Buggy Plus 1.6 8V, ano=1989, renavam=25932385546, placa=LNI-3289, cor=Verde
marca=Nissan, modelo=TIIDA SL 1.8/1.8 Flex 16V Aut., ano=2008, renavam=42161034743, placa=LUB-0106, cor=Amarelo
marca=MG, modelo=550 1.8 16V Turbo 170cv Aut., ano=2010, renavam=16071878633, placa=KQT-7007, cor=Laranja
marca=Mercedes-Benz, modelo=Sprinter 313 VAN Street Std. 16L. Dies., ano=2005, renavam=42161034743, placa=LUB-0106, cor=Amarelo
marca=Gurgel, modelo=Carajas Diesel, ano=1985, renavam=36198494964, placa=LJI-3758, cor=Vermelho
marca=Wake, modelo=Way 1.6 Total Flex 8V Mec., ano=2009, renavam=95179752290, placa=LSW-4994, cor=Laranja
marca=Lotus, modelo=Elan S-2 1.6 16V, ano=1995, renavam=28340245492, placa=KWB-8255, cor=Preto
marca=Agrale, modelo=MARRU, ano=2004, renavam=35953962396, placa=KQH-4156, cor=Branco
marca=AM Gen, modelo=Hummer Hard-Top 6.5 4x4 Diesel TB, ano=1998, renavam=42861475114, placa=HHA-9449, cor=Cinza
marca=Gurgel, modelo=BR-800 (todos)/ Supermini, ano=1988, renavam=35953962396, placa=GNW-4156, cor=Branco
marca=Chrysler, modelo=Cirrus LXi 2.5 V6 24V, ano=1995, renavam=20396650052, placa=HMG-0642, cor=Marrom
marca=Asia Motors, modelo=Towner Truck, ano=1993, renavam=71208918999, placa=HGZ-2548, cor=Dourado
marca=Chrysler, modelo=Grand Caravan LX 3.8, ano=1998, renavam=11476897802, placa=GTP-3250, cor=Vermelho
marca=LAMBORGHINI, modelo=Gallardo Coupe Superleggera LP570-4, ano=2010, renavam=28340245492, placa=GSV-8255, cor=Preto
marca=Mazda, modelo=626 SW High, ano=1999, renavam=69934446641, placa=HCS-6349, cor=Bege
marca=Pontiac, modelo=Trans-AM 5.7 V8, ano=1991, renavam=69934446641, placa=HCS-6349, cor=Bege
marca=Saturn, modelo=SL-2 1.9, ano=1991, renavam=61147663093, placa=HMP-2290, cor=Vermelho
marca=Lexus, modelo=LS 400 4.0, ano=1991, renavam=07398620145, placa=HBQ-0692, cor=Prata
marca=CBT Jipe, modelo=Javali 3.0 4x4 Diesel, ano=1988, renavam=71208918999, placa=HGZ-2548, cor=Dourado
marca=Peugeot, modelo=605 SRi 3.0, ano=1992, renavam=91567809050, placa=GUJ-6417, cor=Branco
marca=GM - Chevrolet, modelo=Brasinca Blazer CD 4.0 Diesel, ano=1986, renavam=36306661226, placa=GSN-7778, cor=Marrom
marca=Alfa Romeo, modelo=145 Quadrifoglio 2.0, ano=1996, renavam=60999177200, placa=HCH-0960, cor=Preto
marca=Fyber, modelo=Buggy 2000W 1.6 8V, ano=2016, renavam=50092822980, placa=GMN-5997, cor=Verde
marca=Cadillac, modelo=Deville/Eldorado 4.9, ano=1991, renavam=08041428388, placa=GUO-8756, cor=Dourado
marca=Agrale, modelo=MARRU, ano=2004, renavam=93032386257, placa=GWN-8296, cor=Branco
marca=Mahindra, modelo=PIK-UP CS 2.2 4X2 (diesel) Mec., ano=2014, renavam=95179752290, placa=HML-4994, cor=Laranja
marca=Honda, modelo=Civic Sedan LXB 1.6 16V 4p, ano=1997, renavam=88466085897, placa=GNE-8498, cor=Verde
marca=Volvo, modelo=850 Sedan, ano=1994, renavam=95179752290, placa=HML-4994, cor=Laranja
marca=Audi, modelo=A6 2.4 V6 30V Quattro Mec, ano=2001, renavam=71208918999, placa=HGZ-2548, cor=Dourado
marca=AM Gen, modelo=Hummer Wagon 6.5 4x4 Diesel TB, ano=1998, renavam=42938901953, placa=GWT-8599, cor=Branco
marca=Peugeot, modelo=206 Holiday 1.6 Flex 16V 5p, ano=2005, renavam=71208918999, placa=HGZ-2548, cor=Dourado
marca=Agrale, modelo=MARRU, ano=2004, renavam=88466085897, placa=GNE-8498, cor=Verde
marca=LOBINI, modelo=H1 1.8 20V Turbo 180cv 2p, ano=2005, renavam=16184901541, placa=GSR-8277, cor=Marrom
marca=Suzuki, modelo=Grand Vitara 3.2 24V 4WD 5p Aut., ano=2009, renavam=67969975555, placa=HLB-0345, cor=Bege
marca=Peugeot, modelo=206 Sensation 1.4 Flex 8V 5p, ano=2006, renavam=16542741357, placa=GYG-7140, cor=Bege
marca=Lexus, modelo=LS 430 4.3 32V 281cv, ano=2001, renavam=67969975555, placa=HLB-0345, cor=Bege
marca=Kia Motors, modelo=Clarus GLX 2.0 16V Aut., ano=1997, renavam=67969975555, placa=HLB-0345, cor=Bege
